recipe_tag	coefficient
bias	0.4159753335038407
alfredo	0.05854249966570954
almond	-0.046650753119919466
american	-0.02412706902738769
appetizer	0.05326726714351546
appetizers	-0.013526008308660534
apple	-0.005564633614876618
asiancuisine	0.03809649303714275
asparagus	-0.07474647550197133
avocado	0.026818681279444184
bacon	0.28437735219497906
baked	0.049220786913039376
bakeddishes	-0.10393528608949829
bakery	-0.02988480273775961
baking	-0.007053711591051198
beans	0.03376836681166272
beef	0.01209975609073154
bellpeppers	0.001148333025295515
berries	-0.04011981785698744
blackbeans	0.001148333025295515
blackvinegar	-0.009115864851219312
blueberry	0.05553320642652549
boiledeggs	0.019211615973925695
bokchoy	0.019211615973925695
braided	0.010861409485643328
bread	-0.025929473100148717
breaded	0.033482555762443536
breakfast	-0.006829982320883943
breakfastpastry	0.038484148087789063
brioche	-0.09425690158784361
broiling	0.037549866406115066
brownies	0.036137321557291435
brownsugar	0.025929819774919833
brunch	0.06956388539760769
burger	-0.006999931245810327
burritos	-0.03844923358808566
buttery	0.034165429841715084
cake	0.052959307449980036
carrots	0.019211615973925695
casserole	0.031098928812101533
celebration	-0.029184970847901736
cheese	0.044101206613845235
cheesy	0.030025753530183746
cherry	0.021815163850036172
chicken	0.05679077507329876
chickpeas	-0.006999931245810327
chilioil	-0.029161686727084832
chilipowder	0.001148333025295515
chinese	0.06355283221418724
chinesecookingwine	-0.02004582187586552
chinesecuisine	0.03231516113323303
chocolate	0.18133353118495105
chocolatechip	-0.008334435147516002
chocolatecroissant	0.038484148087789063
christmas	0.013963270439108118
cilantro	0.020600949937447228
cinnamon	0.02714360792980736
citrus	0.026882948775803696
classic	0.04875179190314018
cloves	-0.027729094998481838
cobbler	0.08222638820813745
cocoapowder	0.02106978282513756
coffee	-0.007844373091723525
cold	0.06355283221418724
coldnoodles	0.018092545915125095
comfortfood	-0.03068133618147148
condiment	-0.05436425389632232
cookies	-0.030849624291167513
corn	-0.029184970847901736
cranberry	0.02953142708716181
creamcheese	-0.017374239618618312
creamy	0.09967472838827574
crisp	0.008765822465553245
crispy	0.07654047240758896
croissant	-0.007844373091723525
croissants	0.05176975684315674
crumble	0.02983144401820264
crust	-0.027729094998481838
cucumber	0.018092545915125095
cumin	0.001148333025295515
cupcakes	-0.0523577741298189
custard	-0.1580279919908268
custardy	0.06598017322422864
customizable	-0.02346552098772041
danish	-0.017374239618618312
dashibroth	0.017615630368502905
dates	0.007053221613784724
decadent	0.0042589948017369
dessert	0.1941937856946998
dinner	0.0767968454808482
dip	0.06699526535272146
donuts	0.014148042165666739
easterneuropean	0.010861409485643328
easy	0.06885712819595573
easydinner	-0.03675046585530549
egg	0.06559402250205473
eggs	-0.014579338902607111
eggwhites	-0.02653274073987095
fajitaseasoning	-0.0011733008462713234
fall	0.011802798256739086
familyfriendly	-0.005651537043203956
fastfood	0.033482555762443536
fetacheese	-0.04197718734911036
filling	-0.012648848731100849
fingerfood	0.03277747795896678
flaky	-0.02187259953065049
french	0.008598031638591346
frenchcuisine	-0.06709963988444978
frenchpastry	0.0007549722583059283
fresh	0.05847455795035134
fried	0.053722903770834315
friedfood	0.03131347572704339
friedrice	0.01081667225661956
fries	0.009897081886000612
frosting	0.000601533320161135
fruit	0.06475890557987057
fudgy	-0.006602414683906428
gamedayfood	0.02493119272856833
ganache	0.03188952462484248
garlic	-0.03258435915193841
ginger	-0.02004582187586552
glutenfree	0.06142132207351423
goldenbrown	0.039384545334325526
greenbeans	-0.06480569457663757
greenonion	-0.012538537276072886
greenonions	-0.019237617614159968
grill	-0.006999931245810327
grilled	-0.008760762034701532
grilling	0.037549866406115066
groundbeef	0.06980501085284042
gruyere	-0.04822511238652404
gruyerecheese	-0.037505644712429495
guacamole	0.03374339899068691
hamandcheese	-0.017374239618618312
hamburger	-0.012537129950576001
handheld	-0.02346552098772041
handtorndough	-0.038973649471848476
hawaii	-0.012537129950576001
hawaiian	0.026349596748175247
healthy	-0.14361248796366632
herbs	-0.017728994628119055
holiday	-0.015221700408793618
homemade	0.010383067275073462
indulgent	-0.0523577741298189
italian	-0.05729893492893645
italiancuisine	0.05854249966570954
jalapenos	0.009897081886000612
japanesecuisine	0.04220233531386864
juicy	0.010280438686178651
ketchup	-0.012537129950576001
keto	0.04858082325612942
kidfriendly	0.03277747795896678
koreancuisine	-0.038973649471848476
laminateddough	-0.02988480273775961
lasagna	-0.06533979411209842
lattice	-0.027729094998481838
lettuce	-0.05577675263934772
lime	0.04064677181331275
loadednachos	0.015034110842567719
lowcarb	0.04858082325612942
lunch	0.0767968454808482
macandcheese	0.0336945551640471
maple	0.014148042165666739
maplesyrup	0.05569134226469741
masa	-0.029184970847901736
mayonnaise	-0.012537129950576001
meal	0.033482555762443536
mealprep	0.06287318753176592
meat	0.062336042387097446
meatsauce	0.00426073601927615
mexican	0.04349774774932052
mexicancuisine	-0.03536662686580157
mexicanfood	0.015034110842567719
middleeastern	-0.07819905289797319
miso	0.019211615973925695
muffins	0.06287318753176592
mushroom	-0.03827530242133474
mushrooms	0.019211615973925695
nachos	0.08241874621066975
noodles	0.05981205633440797
noodlesoup	0.019211615973925695
nori	0.026349596748175247
numbing	0.02138520410858682
nutmeg	-0.0017992752235620052
oat	0.021859977559227604
oats	0.010361663126866138
onion	0.01127537078900077
onions	-2.4967820975808474e-05
onthego	0.026349596748175247
oven	0.038484148087789063
oysters	0.056278130276948175
pacificislands	-0.012537129950576001
pancakes	0.05569134226469741
parmesan	-0.04822511238652404
partyfood	0.04843582599576115
pasta	0.030677383881544035
pastasauce	0.00426073601927615
pastry	-0.06442517118746877
pastrycrust	-0.10348581793665813
peach	0.04666722260578705
peanutbutter	0.01566907205231502
peanutdressing	0.0074654098459447675
peanuts	-0.009115864851219312
peppers	-0.0011733008462713234
pickledvegetables	-0.1531236287746303
pie	-0.051856164025869525
piecrust	-0.04197718734911036
pork	-0.009115864851219312
porkbelly	0.019211615973925695
potatoes	-0.03844923358808566
protein	0.06287318753176592
puffpastry	0.038484148087789063
quiche	-0.0763609199417052
quick	0.07087944312453318
ramen	0.019211615973925695
refreshing	0.00629182091117391
relish	0.026882948775803696
rhubarb	0.00629182091117391
rice	0.026349596748175247
ricevinegar	-0.012538537276072886
rich	0.0042589948017369
ricotta	-0.019626818132244574
salad	0.0006372505578865267
salsa	-0.011690853437613944
salty	0.0336945551640471
sandwich	0.06559402250205473
sauce	-0.012919678336695578
savory	0.008343597488332792
scallions	-0.029161686727084832
scallops	0.003776367915874469
seafood	0.058630715127089235
sesame	0.06355283221418724
sesameoil	-0.012538537276072886
sesameseeds	-0.012538537276072886
shrimp	0.037549866406115066
sichuancuisine	0.01226933925736751
sichuanpeppercorns	-0.029161686727084832
sidedish	-0.025773840502755184
sidedishes	-0.06480569457663757
skewers	0.037549866406115066
smoky	0.05479166610684531
snack	-0.0729164677736844
snacks	-0.05490861269063696
sobanoodles	0.03809649303714275
soft	0.039384545334325526
souffle	0.108622490412778
soup	-0.033598560500408436
sourcream	0.0074409205643173
southern	0.03628415533071359
southerncuisine	0.056278130276948175
soysauce	-0.011671935772612463
spam	0.013812466797599246
spices	-0.017728994628119055
spicy	0.01616564521537477
spicyfood	-0.02496465454990478
spinach	-0.1339584779838807
spring	0.13517209817349987
steamed	-0.029184970847901736
stirfry	0.04143102598445234
strawberry	0.00629182091117391
streetfood	-0.10757045392228516
stuffedpeppers	-0.02496465454990478
summer	-0.01222609238289047
sushi	0.026349596748175247
sweet	-0.022788231046452792
sweetandsalty	-0.02251518914365151
sweetandsavory	0.06983938443036415
sweettreat	0.030639774996065537
taco	-0.006868290418649415
tacos	-0.029371401024311978
tangy	0.02025509135028203
tart	-0.012919678336695578
tea	-0.007844373091723525
tempura	0.017615630368502905
tender	0.07286710109676905
texmex	-0.0011733008462713234
thanksgiving	0.013963270439108118
toast	0.06559402250205473
tomato	0.022369392783812427
tomatoes	-0.009469614678130515
tomatosauce	0.07103695540476539
tortilla	0.001148333025295515
tortillabowl	-0.006868290418649415
tortillachips	4.013113059117397e-05
tortillas	-0.03962253443435699
traditional	-0.029184970847901736
twisted	0.010861409485643328
udonnoodles	0.017615630368502905
vanilla	-0.02653274073987095
vanillaicecream	0.010361663126866138
vegan	0.018444300940539865
vegetables	0.10701512095827095
vegetarian	-0.1508018740959802
warm	0.038484148087789063
whippedcream	0.010361663126866138
winter	0.011802798256739086
yeastdough	0.010861409485643328
